word,count
的,7159
了,1507
是,1391
我,1291
在,1177
游戏,1124
也,752
人,639
恐怖,570
和,522
很,510
都,506
有,488
一个,453
剧情,416
故事,416
烟火,414
中,409
陈老师,380
让,352
这,351
她,350
不,342
就,340
自己,331
没有,325
但,305
被,298
到,294
里,274
好,271
能,264
会,250
最后,246
你,242
像,240
而,239
这个,232
与,228
但是,226
可以,225
上,218
对,217
一样,217
又,204
着,202
还是,199
给,198
说,196
真的,196
他,193
玩,193
却,186
死,186
赵小娟,180
更,172
想,168
希望,167
他们,167
就是,161
孩子,161
不会,157
去,155
非常,150
不是,150
玩家,145
我们,144
看到,144
那,143
为,138
天空,135
因为,133
中式,131
还,131
后,130
封建迷信,129
悲剧,128
下,128
为了,125
看,124
多,123
医生,122
尸体,121
什么,118
解密,114
时候,114
并,111
鸟儿,110
老师,109
还有,109
做,109
迷信,108
很多,106
要,105
腐烂,105
田家,105
把,104
虽然,104
只是,103
泥土,103
感觉,101
已经,100
不错,99
人物,99
作品,98
可能,97
芳芳,97
体验,96
这样,94
觉得,94
送别,94
最,94
才,93
成为,93
解谜,92
氛围,92
如果,92
国产,91
这种,91
结局,91
开始,91
喜欢,90
灵魂,90
一,89
来,88
地方,87
从,86
作为,86
通关,85
个,85
叶敬山,85
它,85
将,85
我会,83
主角,82
星空,80
真相,78
真正,78
一部,77
所以,77
叶,76
一种,76
人心,76
过,76
们,75
the,75
用,75
啊,74
整个,74
以,73
优秀,73
没,73
其实,73
再,73
或许,73
小时,72
吧,72
这些,72
时,71
每,71
小,69
出,69
当,69
无法,68
找,68
知道,68
以及,68
之后,68
中国,67
甚至,67
一些,66
叙事,66
每个,66
地,66
结尾,65
场景,65
讲,65
大山,65
绳子,65
家庭,64
作者,64
一切,64
这是,64
这里,63
那个,62
写,62
不过,62
流程,61
世界,61
值得,61
部分,61
于,60
灰烬,60
只能,60
得,60
完,59
画面,59
最终,59
对于,59
陈青穗,58
一款,58
推荐,58
向,58
能够,58
角色,58
生活,58
想要,58
难度,57
小镇,57
通过,57
设计,57
不到,57
走,57
发生,56
东西,56
儿子,55
游玩,55
元素,55
而是,55
发现,55
绽放,55
有点,53
有些,53
来说,53
感,53
所,53
三伏,53
相信,52
一场,52
只,52
鬼,52
不能,52
为什么,51
确实,51
苦难,51
应该,51
葬礼,51
简单,50
吗,50
选择,50
一点,49
现实,49
林理洵,49
感动,49
长亭,49
一下,49
一定,49
之,49
自由,49
存在,49
电影,48
问题,48
买,47
本作,47
外,47
古道,47
一直,47
神婆,47
人们,46
出来,46
带来,46
十分,46
警察,46
之前,46
太,46
小娟,46
像是,45
大,45
调查,45
令人,44
社会,44
玩完,44
人生,44
那么,44
吓人,43
爱,43
出现,43
善良,43
有人,43
期待,43
悬疑,43
星河,43
支教,43
女儿,42
美好,42
妈妈,42
过程,42
呢,42
挺,42
吃,42
那些,41
走出,41
盗墓,41
一般,41
需要,41
其,41
里面,41
所有,40
只有,40
化作,40
田宇,40
封建,39
整体,39
那种,39
点,39
感受,39
这么,39
警官,39
呜呜,39
燃烧,39
害怕,39
一起,39
文化,38
感到,38
案件,38
科学,38
方式,38
永远,38
父亲,38
等,38
花,37
风格,37
起来,37
情节,37
林,37
塑造,37
大概,36
未来,36
蟑螂,36
特别,36
比较,36
音乐,36
边,36
款,36
现在,36
个人,36
感人,36
操作,35
内容,35
线索,35
同时,35
完全,35
事情,35
鬼神,35
田向荣,35
大家,35
tt,35
打,34
很棒,34
星辰,34
如,34
黑暗,34
直接,34
它们,34
月光,33
传统,33
演出,33
后面,33
程度,33
拐卖,33
随着,33
离开,33
以为,33
认为,33
听,33
谜题,33
而且,33
各种,33
恐惧,33
然后,32
思想,32
玩法,32
心中,32
背景,32
名字,32
同样,32
的话,32
结束,32
一次,32
吓,32
哭,31
悲伤,31
爬,31
扔,31
痛苦,31
山,31
剧本,31
其中,31
导致,31
本身,31
代入,31
of,31
要素,30
带,30
今宵,30
别梦寒,30
细节,30
人性,30
思考,30
其他,30
找到,30
指引方向,30
过去,30
几乎,30
清潭,30
不要,30
田芳芳,30
主要,29
时间,29
另,29
营造,29
星星,29
事,29
文物,29
压抑,29
帮助,29
害死,29
不再,29
气氛,29
纸人,29
感情,29
以后,29
算是,28
愿意,28
沉浸,28
芳草,28
小说,28
谁,28
儿媳,28
精彩,28
归路,28
逐渐,28
死者,28
两个,28
如此,28
主题,28
能力,28
比如,27
表现,27
温暖,27
飞鸟,27
连天,27
了解,27
意外,27
属于,27
情感,27
照亮,27
船票,27
背后,27
原因,27
逃离,27
比,26
完整,26
似乎,26
可惜,26
可,26
基本,26
环境,26
jump,26
继续,26
震撼,26
充满,26
救赎,26
如同,26
记得,26
碧,26
井底,26
身上,26
关于,26
一段,26
突然,26
理解,26
当然,25
惨案,25
留在,25
自我,25
或者,25
温情,25
深渊,25
被困,25
前,25
愚昧,25
追求,25
破,25
节奏,25
怎么,25
之中,25
坠入,25
也许,25
出去,25
艺术,24
短,24
别人,24
恰到好处,24
深刻,24
scare,24
话,24
字,24
接受,24
无,24
变成,24
公婆,24
看见,24
愿,24
做出,24
表达,24
好像,24
今天,24
她们,24
and,24
画风,23
可怕,23
音效,23
佳作,23
下来,23
文字,23
本来,23
遗憾,23
且,23
一颗,23
挣扎,23
类,23
即使,23
更是,23
影响,23
内心,23
有着,23
一位,23
意难平,23
不同,23
工作,23
成就,22
内,22
惊悚,22
啊啊啊,22
制作,22
明白,22
响起,22
这片,22
推理,22
关系,22
展开,22
一生,22
诡异,22
一名,22
好评,22
变得,22
结果,22
放弃,22
绝对,22
切换,22
事件,22
游戏性,21
高,21
心里,21
这部,21
想起,21
成,21
遭受,21
灭门,21
意义,21
形象,21
地狱,21
任何,21
几个,21
无论是,21
这款,21
实在,21
是因为,21
不得不,21
